"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Urban population growth (annual %)","SP.URB.GROW","","2.20618318433586","1.40449764443636","0.788834806012037","0.551271223601445","0.544810147271831","0.569215952436883","0.562594183828246","0.53915798364161","0.579985440210589","0.543206244671516","0.596797743787629","0.649417477374885","0.615690478967722","0.451941165509605","0.179553775611578","-0.143617219580355","-0.392734918149811","-0.466737634045472","-0.247398321827781","0.178188464900201","0.739053110161542","1.24883733028715","1.38336101072441","0.948566032524743","0.283768635368491","-0.631694087558585","-1.32684624476577","-1.27637244535819","-0.0943534419529656","1.78406215883213","3.86991314696399","4.83682009794589","5.2246853498072","4.81157011800301","3.77452373100286","2.68496169084964","1.80282687917353","1.25882403022347","1.097858478818","1.19199961081619","1.39191673525616","1.44152873875516","1.30810032218439","0.960453642059383","0.482359130876357","-0.0178237234229982","-0.428725201161992","-0.693862462461253","-0.741833097809861","-0.626233160002455","0.100461216723523","0.543931062611557","0.660561162227","0.707732938257678","0.696089553801069","0.697901382610368","0.706219178156091","0.731739883528841","0.748027728265044","0.774630546446726","0.785690877241828",
"Africa Eastern and Southern","AFE","Urban population growth (annual %)","SP.URB.GROW","","4.2117994879189","4.23037954051017","4.35556256113733","4.45841679532457","4.50410807847108","4.549092260002","4.57504323174143","4.62507253780264","4.69624770299137","4.61984553958882","4.69101504153014","4.7840198982702","4.77145790101952","4.70979965602345","4.76742339010249","4.81280750649896","4.85385551447979","4.8626954826148","4.66158810891615","4.45422064112357","4.44479417931613","4.4346267464326","4.55417271424197","4.74594546418747","4.90959280366405","5.04246966802933","5.03007549234356","5.03566955626363","4.99617193726134","5.07664273327116","4.88980565749837","4.90613221253582","4.74717578511068","4.30100436272988","4.07924732355104","3.94481764359827","3.81378916075805","3.67642023626462","3.63086400826911","3.64165068206468","3.71625401483158","3.77806692743636","3.77484354903234","3.79087677516938","3.85804921095794","3.82590236060811","3.6008212852026","4.10636675179082","4.12863550981204","4.16111772901328","4.18700792549491","4.11760699890084","4.1158174822048","4.11460755594943","4.10224752760224","4.08554218630573","4.06719288593223","4.04698654026213","4.02268258381071","3.9964003100165","3.96606833921102",
"Afghanistan","AFG","Urban population growth (annual %)","SP.URB.GROW","","5.2116481774553","5.27299006677766","5.31746284605491","5.3775787595612","5.41115056075046","5.4389126714186","5.42838019882663","5.4938374647804","5.60216908561963","5.74848804263659","5.86010197758506","5.89929906925987","5.82357308713673","5.63022400621769","5.34322790504545","5.10630157969629","4.84688113883396","4.37453609220787","3.60652322835829","3.11083842471923","2.0900441537399","1.25145752639358","0.726474518241479","0.727659896469548","1.17893099329895","1.65759895156847","2.21056863211479","3.4276776199282","2.56400697259483","4.89810096589011","7.31952402560836","8.96374245914583","9.20678782769523","8.07860539675126","6.30137006521624","4.43481087997389","3.05469868045992","2.35925742248975","2.5851717172","3.39264380829693","4.3141296477239","4.91084914575563","5.08077515052692","4.97703775215178","4.58087982806989","3.8850741596383","3.38908827870672","3.15989165451406","3.28496184755574","3.63099873466024","4.0280877136847","4.2889512956776","4.37235419172966","4.22979168341647","3.95172562767825","3.64912782637723","3.46289335307327","3.34993438731489","3.32382725656218","3.35442115854384","3.40392481659403",
"Africa Western and Central","AFW","Urban population growth (annual %)","SP.URB.GROW","","4.75288952769444","4.8184568870842","4.91621825025699","4.9792777928543","5.02646743245731","4.84653974237747","4.8868144633778","4.92750096961873","4.96787621335393","4.94095830320502","5.30798068723011","5.35343748741803","5.37451332776327","5.41244772721279","5.44416059853476","5.51829618725922","5.33667192378384","5.31919903885488","4.91527356377972","4.89701529375728","5.38640437407358","5.36781552064876","5.3185066913523","5.3226332561638","5.395325133461","5.28676876149035","5.17208018919627","5.0459439542238","4.91135322845304","4.85838853142748","4.25066064972106","4.01861981828289","3.97417112157017","3.9579942967183","3.96895880248051","3.9766581631219","4.08671213674377","4.10357107802841","4.11190279779019","4.08795674905325","4.44550365918491","4.42698191462433","4.4380246544729","4.45156150851678","4.46346229994904","4.48047727675396","4.46728531110487","4.44752651671092","4.42301247558463","4.39639193601722","4.35234105406772","4.31110081793129","4.26170261970351","4.22409710741248","4.19072623014279","4.15363738929804","4.11644859683753","4.07403292457442","4.02671808314889","3.97727243932519","3.92604184130494",
"Angola","AGO","Urban population growth (annual %)","SP.URB.GROW","","4.81237876666659","5.07426527622805","4.93662379712939","4.63957984303474","4.2503697869411","3.80632422198992","3.48678032245392","3.54515693566032","4.10150242093529","5.02793755021441","6.94323406676148","8.51163370491049","8.96236898138935","9.01260014185934","8.76908124386386","8.49160345443777","8.27041852111289","8.14070171399099","8.09737107545537","8.11256004063561","8.10504367729172","8.06852890041723","8.01004007787438","7.93855379817191","7.83442965860714","7.7433801949989","7.6467128919056","7.53819569526607","7.39652025734052","7.25676436541605","7.11764311061975","6.99227425776387","6.85709493809958","6.75038817794411","5.89911739806863","5.8441280402505","5.78410389232452","5.74403914327191","5.70677233656639","5.68176436901756","5.64339473257092","5.61789177735941","5.61061273295664","5.63243841376516","5.65449742019371","4.97464879942458","5.0105924402647","5.01966522581942","4.98586279172289","4.93227212928482","4.87262349690642","4.81291353028581","4.74289874279112","4.66635747013067","4.57220933179748","4.48020433880439","4.39203509910461","4.31180314839867","4.24982377385174","4.19296192786897","4.14167049102304",
"Albania","ALB","Urban population growth (annual %)","SP.URB.GROW","","3.89300966533454","3.28920702183149","3.18226453059251","3.11206814397195","2.98482801343999","2.86494544353281","2.85992943694977","3.07174575108209","3.2198483846198","3.157619134267","3.02918729883486","3.10065873703123","2.96457346625943","2.89871134975155","2.90212612132669","2.80568876125005","2.81002499777185","2.66911436179038","2.58227599369944","2.82702034974263","2.77592616479635","2.88327330682815","2.89083719272096","2.86797195840095","2.81704649291852","2.69139105856439","2.75514115529854","2.63915255793554","3.43737787908247","2.54304254474964","0.141060581773093","0.878430429802018","0.855534960140529","0.843725669639771","0.824171260000091","0.812476342196282","0.788237294994372","0.774515178812666","0.755983737416337","0.742478629285177","0.710442617598151","2.18120890441126","2.06027418181457","1.97179893742068","1.82642935665107","1.66222789724062","1.49221506952818","1.43512421072918","1.47328791317413","1.60937326447224","1.78778378467889","1.84837893643447","1.74363937043308","1.64611599636276","1.48476433256912","1.54401448032371","1.54128496391169","1.31716210445698","1.07141354924368","0.85761092300088","0.443404480033808",
"Andorra","AND","Urban population growth (annual %)","SP.URB.GROW","","11.212503042822","10.7183670219341","10.1994200232897","9.73436401593263","9.20770106632414","8.78914061256464","8.29187336335997","7.8597028437003","7.5636624023163","7.35072528533584","7.20648603286302","6.85145627773973","6.57517834974645","5.98446606273255","5.3631846436771","4.73476308953279","4.2242131962969","3.99725450407804","4.12088429886682","4.3742834842188","4.69799179137666","4.94495358203691","5.00631195106553","5.02768827015018","4.86004757938739","4.4050035137491","3.92900967666342","3.83472293366583","3.76143516175469","3.67737810043852","3.68891168935547","3.61889434314584","3.26446103332998","2.51757697705433","1.62824477391006","0.531920582521967","-0.331492936591929","-0.550467780591618","0.0737945526150587","1.28266683917017","2.57670838757849","3.4856564314716","3.89852176243608","3.60925723641609","2.86472544520805","2.12584769462357","1.50499835480817","1.07354833890696","0.610413622736659","-0.113252558621767","-0.944306728395286","-1.69654318171352","-2.13749863266828","-2.05420876078059","-1.66094779768851","-1.00938762698998","-0.496753027615937","-0.0854902475273902","0.0899101695901563","0.0765809586482714","0.0500404749569113",
"Arab World","ARB","Urban population growth (annual %)","SP.URB.GROW","","5.19381298861794","5.16250078648955","5.19936995369201","5.25854194010489","5.35379774523584","5.20555109319325","4.86613172727041","4.86647002964189","4.82900417641932","4.78467020579355","4.65774207563068","4.65001211735671","4.61623974656757","4.49837554631374","4.50939658625127","4.54382317527993","4.51914836989795","4.53096670357074","4.51236304322381","4.51848875420737","4.49933324591463","4.45042212708006","4.45609078671767","4.48345108991373","4.36339055228534","4.2747286430221","4.05845157810451","3.82202472816515","3.65203899276926","4.82284887006143","3.52047201453138","1.83830544199772","3.45212923518905","3.11197207625318","4.09530458989605","2.65758128204259","2.64330068874105","2.62802542666208","2.62469411899784","2.63407550268336","2.66161198053707","2.66783490456257","2.73371441857371","2.81983501319756","2.99682140924098","3.12029024563375","2.9597247463317","3.25278226366046","3.22679777344985","3.17126729061638","2.96578539671806","2.83222334444932","2.76475409111796","2.67947210388837","2.69566788518063","2.57605973907636","2.47367924701341","2.41402964665221","2.38547134479752","2.38393807615734","2.39092452125568",
"United Arab Emirates","ARE","Urban population growth (annual %)","SP.URB.GROW","","9.87891970049642","11.7908988918999","12.102042916279","10.9054780965154","9.24586273950912","7.54195056221848","6.90735502073457","7.96184999265842","10.6302904497918","14.3796982401464","16.8176425230548","17.6334486948115","17.5916803616052","16.9371466888711","15.9504318571875","15.2699634377385","14.4657474103606","13.0216377105337","11.1539188517534","9.24881134991582","7.25622221775537","5.76542760934382","5.04703637154413","4.9197775101753","5.15147062263988","5.48023662860486","5.6716880125807","5.7408931847736","5.70353223602714","5.6010518928617","5.59250441870925","5.61749994410113","5.50654760504967","5.24191901337007","4.93906941245424","5.22969771958305","5.64235568194936","5.72980096522114","5.83240890407002","6.0430876046562","5.76237999559213","5.7026972738252","6.98569014754692","9.66267530221405","12.4963570691451","14.8928050396333","15.6299598259616","14.3475854272159","11.4694108619642","8.09836271798159","4.93502405819285","2.53958751377267","0.987427191162955","0.539371260903049","0.87690473300016","1.39234696489351","1.66813000020137","1.82112321834119","1.74680099397841","1.51740240268717","1.30078201944916",
"Argentina","ARG","Urban population growth (annual %)","SP.URB.GROW","","2.44459044106631","2.33841943991708","2.2976590657967","2.2571488940231","2.21412581701298","2.17501489371037","2.13871429158823","2.12353771118539","2.12747004219775","2.149557402056","2.1321231735429","2.14006853501997","2.14174126964339","2.11562938527923","2.06987680028792","2.01955737318211","1.97610903801847","1.95643265969749","1.96167720382067","1.98558165056016","2.08457967159569","2.13033647273011","2.12853439901621","2.11626930959142","2.09014235591245","2.06225943979013","2.03365611981907","1.99509157348324","1.94151381147961","1.88039256922654","1.79614986112158","1.59690978565893","1.54565281756343","1.5020850161068","1.46088741767878","1.42248081328047","1.38331987261867","1.35215249014356","1.33058942885232","1.31397801892401","1.30159136693302","1.28597329232975","1.2684396647978","1.24920953487121","1.22638308678468","1.20299247011043","1.18275022667788","1.17389103087434","1.1772245502055","0.926286488598646","1.30814131603172","1.28077370283392","1.25948243003778","1.2396386789085","1.21579706300955","1.19260291906809","1.17019595911431","1.14760215897919","1.12501972603644","1.10041505272326","1.07551503856124",
