"","country.code","country.name","year","pov","income","reg","edu.total","hlth","mil","fdi","lbr.part","unemp","pop.gwth.total","pop.gwth.rural","pop.gwth.urban","gdp.dflt","gcf","trade","gdp.pc","lfdi","lgdp.dflt","lgdp.pc"
"781","HND","Honduras",2008,15.2,"LM","Latin America & Caribbean",NA,8.60362625,0.953978556250972,1200798087.04613,59.5800018310547,3.16000008583069,2.18426332329223,0.855982641743467,3.50008976802955,7.79051363926141,36.0659698365463,135.748955193053,1739.35337734076,20.9062522452161,2.05290679342933,7.46126870092197
"782","HND","Honduras",2009,12.3,"LM","Latin America & Caribbean",NA,8.9959259,1.07491069621038,494497450.521718,60.810001373291,3.28999996185303,2.10555497079655,0.763507818659753,3.4003743952004,7.65373242322937,20.599443751492,96.9050060188904,1789.70555323308,20.0190525533448,2.03519342731605,7.48980638990343
"783","HND","Honduras",2010,13.8,"LM","Latin America & Caribbean",6.80000019073486,8.72536373,1.07445720815541,607376418.071288,61.9099998474121,4.11999988555908,2.02441331695389,0.662014990172081,3.30462405216172,4.67604329499009,21.8798406875029,109.441838241682,1904.34715184132,20.2246592854417,1.54245230254687,7.5518945263794
"784","HND","Honduras",2011,14.3,"LM","Latin America & Caribbean",6.09999990463257,8.79187012,1.13130910330426,1042571020.7703,59.7299995422363,4.46999979019165,1.94316947523917,0.56619244145957,3.20336901115012,7.8072052366428,25.9999916424846,122.216902597337,2088.3155465311,20.7649556347559,2.0550470555902,7.64411306140205
"785","HND","Honduras",2012,17,"LM","Latin America & Caribbean",NA,8.65655136,1.14601855382863,1081346795.58822,58.4000015258789,3.75,1.86932160846233,0.47095258880027,3.11574312184587,3.57978742613756,24.5642087901292,121.188215808285,2144.34236301027,20.8014731341348,1.27530342047579,7.67058819368239
"786","HND","Honduras",2013,14.6,"LM","Latin America & Caribbean",5.87492990493774,8.47723007,1.60131821530496,1069029263.15978,62.6599998474121,5.65000009536743,1.81013079423251,0.398446331824013,3.03562507299777,1.37403051856492,21.7603523031056,116.306049247436,2102.59244935157,20.7900168429456,0.317748405027227,7.65092636203454
"787","HND","Honduras",2014,13.3,"LM","Latin America & Caribbean",7.0901198387146,7.91455746,1.54864514050243,1704790710.03868,64.1500015258789,7.07999992370605,1.76927098953001,0.337376677845256,2.9799248889583,6.84935672480186,22.1838322277385,112.97509728471,2206.05439745471,21.256708189437,1.92415473907638,7.69896085837375
"788","HND","Honduras",2015,13,"LM","Latin America & Caribbean",6.41297006607056,7.48378992,1.67127565023158,1316679827.33597,64.0899963378906,6.15000009536743,1.74147410181564,0.299927694158676,2.92858568620771,6.9327703694637,25.1180047488604,107.26440535424,2302.20441093316,20.9983791225864,1.93625949803056,7.74162238244349
"789","HND","Honduras",2016,14.6,"LM","Latin America & Caribbean",5.15961980819702,7.69098616,1.66470130383407,1147030449.99683,63.3199996948242,6.73000001907349,1.71775974956218,0.261908324929131,2.88557689114346,3.67806814426042,23.3771285357634,99.8157169505924,2342.58490388004,20.8604422222538,1.30238765354188,7.75901025844189
"790","HND","Honduras",2017,13.9,"LM","Latin America & Caribbean",4.93701982498169,6.98996687,1.72440517780481,949955941.517779,64.3600006103516,5.53000020980835,1.69227148219463,0.224087352716088,2.83953155028009,4.5128429763521,24.8207131723601,101.813111079622,2453.72711527978,20.6719261641337,1.5069273266105,7.80536341912019
"791","HND","Honduras",2018,14.2,"LM","Latin America & Caribbean",6.05646991729736,7.21891975,1.60769447208664,1442587576.2096,66.75,5.61999988555908,1.66708222728063,0.188706687996875,2.79254912937651,1.94721691531043,26.572086282814,103.551162215452,2510.32294304191,21.0897042659141,0.666401130205192,7.82816668641601
"792","HND","Honduras",2019,12.7,"LM","Latin America & Caribbean",4.91284990310669,7.2839179,1.62359796528661,955095297.980428,64.5899963378906,5.55000019073486,1.64061784169287,0.151874520424039,2.74490762688928,4.12669713335944,22.7310906809155,98.0275897083463,2574.35675105143,20.6773216819276,1.41747736144302,7.85335497647435
"793","HRV","Croatia",2009,0.9,"H","Europe & Central Asia",4.35808992385864,8.17583179,1.8036702352052,3069599255.91982,53.1199989318848,9.19999980926514,-0.10502751669287,-0.477574092555459,0.200979934356861,2.96535751557596,24.9693871331904,70.397013461437,14653.0435549819,21.844812854494,1.08699760378977,9.59240334406123
"794","HRV","Croatia",2010,1.2,"H","Europe & Central Asia",4.19863986968994,8.0887022,1.695435808396,1545050408.33734,52.5800018310547,11.6199998855591,-0.226821270818422,-0.600750996432703,0.0782445394894119,0.929440948424528,20.9404127634484,73.2802726706786,14067.5231191915,21.1583223735194,-0.073172004312665,9.55162409475314
"795","HRV","Croatia",2011,0.6,"H","Europe & Central Asia",4.09654998779297,7.76850891,1.76927104101,1248979435.63125,51.8400001525879,13.6800003051758,-0.345264228485821,-0.718356315936943,-0.042936131160119,1.69671911846856,19.7484287417802,78.435249159432,14757.1803401768,20.9455926032876,0.528696456034486,9.59948504604181
"796","HRV","Croatia",2012,0.8,"H","Europe & Central Asia",NA,7.78380489,1.68841644660392,1465100044.52763,51.3699989318848,15.9300003051758,-0.305655944795909,-0.718340098600139,0.0263886946453169,1.42541245703811,18.620081596417,79.7098027960427,13401.6566203283,21.1051893668638,0.354461215375431,9.50313360668035
"797","HRV","Croatia",2013,0.7,"H","Europe & Central Asia",4.50039005279541,6.51796293,1.64441604701922,975476235.534655,50.8400001525879,17.25,-0.278509062850129,-0.729001579910278,0.0811490889940271,0.773358483233395,19.1634105079812,81.7127947242977,13837.7316376587,20.6984363564131,-0.257012582096208,9.53515431672565
"798","HRV","Croatia",2014,1,"H","Europe & Central Asia",NA,6.70013046,1.84503353568026,3187415809.47089,52.3600006103516,17.2900009155273,-0.407343184777633,-0.898446561830242,-0.0185618451682002,0.149114121996675,18.7666990068635,85.9378921963142,13762.3728630599,21.8824763343671,-1.90304334676252,9.52969354306346
"799","HRV","Croatia",2015,0.6,"H","Europe & Central Asia",NA,6.78702879,1.78324008793387,44642053.1601483,52.7299995422363,16.1800003051758,-0.824099163913538,-1.35186532914691,-0.410081982186149,0.0796555594807558,20.354722076408,91.3613632661389,11933.3773788281,17.6141868687106,-2.53004344618236,9.38709457467712
"800","HRV","Croatia",2016,0.6,"UM","Europe & Central Asia",NA,6.82921791,1.62188218108196,429948322.653496,51.3199996948242,13.1000003814697,-0.69838345731273,-1.26560503328934,-0.257731226832978,-0.0749221007632457,20.7335243659711,92.8680532083771,12527.7398569824,19.8791755795541,NA,9.43570065308702
"801","HRV","Croatia",2017,0.5,"H","Europe & Central Asia",3.85475993156433,6.75844765,1.66530143649465,460160214.941726,51.6100006103516,11.210000038147,-1.20061016480925,-1.80800195701092,-0.733638347773647,1.16365482583596,21.6942581920663,97.8867117346036,13629.289592247,19.9470852801589,0.151565763954116,9.5199764024406
"802","HRV","Croatia",2018,0.4,"H","Europe & Central Asia",3.90755009651184,6.78430557,1.57456380583892,1319393496.34912,51.189998626709,8.43000030517578,-0.893486927711056,-1.54174402567093,-0.400587697691305,2.01036680125652,23.1780152072273,99.8523620325136,15227.5600968096,21.0004379954921,0.698317193609364,9.6308622293001
"803","HRV","Croatia",2019,0.3,"H","Europe & Central Asia",NA,6.97861767,1.64886746262036,3904101552.83018,51.0999984741211,6.61999988555908,-0.554146739042888,-1.24169729466857,-0.037465606839713,1.9193093838328,22.7876384210269,101.803642493885,15311.766903695,22.0852935176667,0.651965425413179,9.63637689046394
"804","HTI","Haiti",2012,29.2,"L","Latin America & Caribbean",NA,5.56462383,NA,1.56e+08,56.9000015258789,14.1000003814697,1.48005462449313,-0.45080067319703,3.4909724595982,8.20779379091175,17.5091466960081,40.2582414988129,1337.33594561281,18.8653665652138,2.10508416517323,7.19843481376137
"805","HUN","Hungary",2004,0.1,"UM","Europe & Central Asia",5.32658004760742,7.77005482,1.47272381889096,4538099567.15789,49.4900016784668,5.82999992370605,-0.221439378654807,-1.40779374351064,0.398121565451941,5.09478220664055,27.3796460469962,123.422334747029,10303.704193626,22.2357741638209,1.62821691927242,9.24025874001532
"806","HUN","Hungary",2005,0.7,"UM","Europe & Central Asia",5.31888008117676,8.00078201,1.41202878738717,27489690204.0215,50.1699981689453,7.19000005722046,-0.198878843237103,-1.58363477569737,0.510331493937622,2.62927754457071,25.9657737282714,127.784246293794,11225.9325815328,24.0370768696538,0.96670911057144,9.3259817899196
"807","HUN","Hungary",2006,0.1,"UM","Europe & Central Asia",5.28811979293823,7.78737354,1.22300995957572,18678720024.6862,50.6500015258789,7.48999977111816,-0.155716484651578,-1.74399473135957,0.639721099642082,3.66352266662888,26.2202104890221,148.96274609329,11493.1004118789,23.650650746237,1.29842516175007,9.34950217011637
"808","HUN","Hungary",2007,0.1,"H","Europe & Central Asia",5.13345003128052,7.21529293,1.27025810610457,70631297038.9164,50.3199996948242,7.40999984741211,-0.154915158060948,-1.75654269697917,0.628309488410444,5.44232773954359,24.8149723733347,155.45295855072,13944.9710132004,24.9807391840513,1.69420686264607,9.54287422140761
"809","HUN","Hungary",2008,0,"H","Europe & Central Asia",4.96611022949219,7.09688091,1.1811797358047,75107772943.2045,49.9099998474121,7.82000017166138,-0.17509736747488,-1.79034242242272,0.596165590682043,4.8052931064468,25.0571017813848,158.276507919924,15777.1920232033,25.0421898916017,1.56971804086292,9.66632063326809
