region,country.code,economy,year,survey.name,survey.year,survey.coverage,datatype,comparability,dep.monetary,edu.attainment,edu.enrollment,infra.electricity,infra.sanitation,infra.drinkWater,dep.mpi
ECA,RUS,Russian Federation,2015,HBS,2015,N,c,1,0.0,0.2,0.3,4.5,13.7,8.3,3.5
ECA,RUS,Russian Federation,2019,HBS,2019,N,c,1,0.0,0.3,0.3,5.0,7.9,8.4,4.7
ECA,RUS,Russian Federation,2020,HBS,2020,N,c,1,0.0,0.9,0.7,5.1,7.7,8.6,5.0
SSA,RWA,Rwanda,2013,EICV-IV,2013,N,c,1,57.9,37.5,4.3,80.5,15.0,25.6,62.2
SSA,RWA,Rwanda,2016,EICV-V,2016,N,c,1,56.5,36.9,4.3,64.0,28.1,24.5,61.1
SSA,SDN,Sudan,2014,NBHS,2014,N,c,1,12.2,40.2,22.7,48.5,92.9,44.9,51.5
SSA,SEN,Senegal,2018,EHCVM,2018,N,c,4,7.6,42.0,31.9,26.6,37.4,15.2,31.5
EAP,SLB,Solomon Islands,2012,HIES,2012,N,c,1,24.7,11.4,13.5,53.8,58.5,25.5,37.3
SSA,SLE,Sierra Leone,2018,SLIHS,2018,N,c,1,43.0,28.7,18.7,68.7,87.2,33.8,61.7
LAC,SLV,El Salvador,2012,EHPM,2012,N,i,1,4.2,31.4,6.3,6.6,11.4,6.1,9.7
LAC,SLV,El Salvador,2013,EHPM,2013,N,i,1,3.4,30.0,6.0,4.8,12.1,4.8,8.2
LAC,SLV,El Salvador,2014,EHPM,2014,N,i,1,3.1,28.7,5.5,4.5,11.3,5.0,7.7
LAC,SLV,El Salvador,2015,EHPM,2015,N,i,1,2.0,28.7,5.5,4.2,11.4,4.8,6.5
LAC,SLV,El Salvador,2016,EHPM,2016,N,i,1,2.3,27.2,5.1,3.8,10.4,4.4,6.4
LAC,SLV,El Salvador,2017,EHPM,2017,N,i,1,1.9,27.2,4.9,3.2,10.4,4.0,5.9
LAC,SLV,El Salvador,2018,EHPM,2018,N,i,1,1.5,24.7,4.0,2.6,9.3,3.8,4.8
LAC,SLV,El Salvador,2019,EHPM,2019,N,i,1,1.3,24.8,3.9,2.1,9.4,3.1,4.3
SSA,SOM,Somalia,2017,SHFS-W2,2017,N,c,0,68.6,59.2,56.3,50.6,39.4,11.8,82.6
ECA,SRB,Serbia,2015,HBS,2015,N,c,1,0.1,4.2,0.6,0.1,0.4,0.3,0.3
ECA,SRB,Serbia,2018,HBS,2018,N,c,1,0.0,3.2,0.7,0.1,2.1,0.2,0.1
ECA,SRB,Serbia,2019,HBS,2019,N,c,1,0.0,1.7,0.7,0.1,1.5,0.1,0.2
SSA,SSD,South Sudan,2016,HFS-W3,2016,N,c,1,76.5,39.3,62.2,,88.1,13.9,87.5
SSA,STP,Sao Tomend Principe,2017,IOF,2017,N,c,2,25.6,19.5,4.3,31.2,62.0,8.2,33.8
ECA,SVK,Slovak Republic,2012,EU-SILC,2013,N,i,2,0.3,0.1,,0.0,0.6,0.3,0.4
ECA,SVK,Slovak Republic,2013,EU-SILC,2014,N,i,2,0.5,0.0,,0.0,1.3,0.7,0.5
ECA,SVK,Slovak Republic,2014,EU-SILC,2015,N,i,2,0.6,0.0,,0.0,1.4,0.8,0.6
ECA,SVK,Slovak Republic,2015,EU-SILC,2016,N,i,2,0.9,0.0,,0.0,1.4,0.8,0.9
ECA,SVK,Slovak Republic,2016,EU-SILC,2017,N,i,2,1.5,0.0,,0.0,1.5,0.9,1.5
ECA,SVK,Slovak Republic,2017,EU-SILC,2018,N,i,2,0.2,0.0,,0.0,1.6,1.1,0.2
ECA,SVK,Slovak Republic,2018,EU-SILC,2019,N,i,2,0.2,0.0,,0.0,1.8,1.4,0.2
ECA,SVK,Slovak Republic,2019,EU-SILC,2020,N,i,2,0.1,0.0,,0.0,1.0,0.7,0.1
ECA,SVN,Slovenia,2012,EU-SILC,2013,N,i,3,0.0,0.1,,0.0,0.5,0.6,0.1
ECA,SVN,Slovenia,2013,EU-SILC,2014,N,i,3,0.0,0.0,,0.0,0.6,0.7,0.0
ECA,SVN,Slovenia,2014,EU-SILC,2015,N,i,3,0.0,0.0,,0.0,0.3,0.5,0.0
ECA,SVN,Slovenia,2015,EU-SILC,2016,N,i,3,0.0,0.0,,0.0,0.3,0.4,0.0
ECA,SVN,Slovenia,2016,EU-SILC,2017,N,i,3,0.0,0.0,,0.0,0.2,0.3,0.0
ECA,SVN,Slovenia,2017,EU-SILC,2018,N,i,3,0.0,0.0,,0.0,0.2,0.2,0.0
ECA,SVN,Slovenia,2018,EU-SILC,2019,N,i,3,0.0,0.0,,0.0,0.1,0.1,0.0
ECA,SVN,Slovenia,2019,EU-SILC,2020,N,i,3,0.0,0.0,,0.0,0.1,0.1,0.0
OHI,SWE,Sweden,2012,EU-SILC,2013,N,i,2,0.8,0.8,,0.0,0.0,0.6,1.5
OHI,SWE,Sweden,2013,EU-SILC,2014,N,i,2,0.8,0.9,,0.0,0.0,0.5,1.6
OHI,SWE,Sweden,2014,EU-SILC,2015,N,i,2,0.7,0.6,,0.0,0.0,0.7,1.3
OHI,SWE,Sweden,2015,EU-SILC,2016,N,i,2,0.7,0.7,,0.0,0.0,0.1,1.3
OHI,SWE,Sweden,2016,EU-SILC,2017,N,i,2,0.5,1.1,,0.0,0.0,0.0,1.5
OHI,SWE,Sweden,2017,EU-SILC,2018,N,i,2,0.6,0.9,,0.0,0.0,0.1,1.3
OHI,SWE,Sweden,2018,EU-SILC,2019,N,i,2,0.9,1.1,,0.0,0.0,0.1,1.9
OHI,SWE,Sweden,2019,EU-SILC,2020,N,i,2,0.5,2.0,,0.0,0.0,0.1,2.4
SSA,SWZ,Swaziland,2016,HIES,2016,N,c,1,29.1,10.7,0.3,35.7,46.5,27.9,35.1
SSA,SYC,Seychelles,2013,HBS,2013,N,i,2,1.2,0.6,,1.4,,25.1,2.0
SSA,SYC,Seychelles,2018,HBS,2018,N,i,2,0.5,0.4,,0.0,0.2,5.5,0.8
SSA,TCD,Chad,2018,EHCVM,2018,N,c,1,33.2,69.0,34.9,90.0,87.0,34.8,79.4
